Contaminant type,Compound,Source,Unit,Concentration,Reference,doi
Metals,Al,Effluent,µg/L,2520,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Al,Effluent,µg/L,588,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Al,Effluent,µg/L,410,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Al,Effluent,µg/L,366,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Al,Effluent,µg/L,752,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,As,Influent,µg/L,9.800000191,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,As,Influent,µg/L,2.970000029,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,As,Influent,µg/L,1.210000038,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,As,Influent,µg/L,8.170000076,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,As,Effluent,µg/L,1.590000033,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
